Standard;Constituent;Al2O3;CaO;CO2;Fe2O3;Fe2O3-T;FeO;H2O;H2O+;H2O-;H2O-T;K2O;Li2O;MgO;MnO;Na2O;P2O5;SiO2;TiO2;B2O3;BaO;Cs2O;Cr2O3;CuO;NiO;Rb2O;SrO;WO3;ZnO;ZrO2;Oxide Sum;Ag;Al;As;Au;B;Ba;Be;Bi;Br;C;Ca;Cd;Ce;Cl;Co;Cr;Cs;Cu;Dy;Er;Eu;F;Fe;Ga;Gd;Ge;H;Hf;Hg;Ho;I;In;Ir;K;La;Li;Lu;Mg;Mn;Mo;N;Na;Nb;Nd;Ni;O;Os;P;Pb;Pd;Pr;Pt;Ra;Rb;Re;Rh;Ru;S;Sb;Sc;Se;Si;Sm;Sn;Sr;Ta;Tb;Te;Th;Ti;Tl;Tm;U;V;W;Y;Yb;Zn;Zr;Carbon Total;Carbon Inorga;Carbon Organic;Carbon Organic Calc;Ag-107;Ag-109;Ag-109/107;Ar-36;Ar-38/36;Ar-40/36;B-11/10;Ba-130/138;Ba-135/138;Ba-136/138;Cd-106;Cd-108;Cd-110;Cd-111;Cd-112;Cd-113;Cd-114;Cd-114/116;Cd-116;Ce-138/142;Cu-63;Cu-63/65;Cu-65;dC-13 -;dN-15 +;dO-18 Biotite;dO-18 K-feldspar;dO-18 Plagioclase;dO-18 Quartz;dO-18 Whole Rock;dS-34 +;dS-34 -;He-3/4;He-4;Hf-176/177;Kr-78/84;Kr-80/84;Kr-82/84;Kr-83/84;Kr-84;Kr-86/84;Li-7/6;Nd-142/144;Nd-143/144;Nd-145/144;Nd-146/144;Nd-148/144;Nd-150/144;Ne-20;Ne-20/22;Ne-21/22;NH4;Pb-204;Pb-206;Pb-207;Pb-208;Pb-206/204;Pb-207/204;Pb-208/204;Pb-208/206;Ra;Ra-226;Ra-228;Ra-228/226;Sm-147/Nd-14;Sr-87/86;Tl-203;Tl-205;Tl-205/203;Thorium Series Isotopes;Th-228/232;Th-230/232;U-series;U-234/238;U-238/235;V-51/50;Xe-128/132;Xe-129/132;Xe-130/132;Xe-131/132;Xe-132;Xe-134/132;Xe-136/132;Zn-68/64;Age;Loss on Ignition;Comment
AGV-1;Data Quality;Certified value equivalent;Recommended value;Provisional value;Recommended value;Recommended value;Recommended value;;Provisional value;Provisional value;Provisional value;Recommended value;;Recommended value;Not provided by compiler;Recommended value;Recommended value;Certified value equivalent;Recommended value;Recommended value;Certified value equivalent;;Provisional value;;;;Certified value equivalent;;Recommended value;Recommended value;Not provided by compiler;Recommended value;Certified value equivalent;Recommended value;Recommended value;Recommended value;Certified value equivalent;Recommended value;Recommended value;Provisional value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;Certified value equivalent;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;Recommended value;Provisional value;Recommended value;Provisional value;Recommended value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;Provisional value;Recommended value;Provisional value;Recommended value;Recommended value;Certified value equivalent;Provisional value;Recommended value;Recommended value;Provisional value;Recommended value;Provisional value;;Certified value equivalent;Provisional value;Provisional value;Provisional value;Provisional value;Recommended value;Recommended value;Provisional value;Certified value equivalent;Certified value equivalent;Recommended value;Certified value equivalent;Recommended value;Recommended value;Provisional value;Recommended value;Certified value equivalent;Recommended value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provisional value;Provisional value;Provisional value;;;Provisional value;;;;Provisional value;;;;;;;;;;;;;;;;;;;;Provisional value;
AL-I;Concentration;18.59;0.384;0.2;0.03;0.075;0.04;;0.29;0.06;;0.14;;0.035;0.004;10.59;0.038;69.34;0.0112;;0.009490251;;0.00029231;;;;0.00946088;;0.000746856;0.0054;;;9.83;0.8;;;85;2.7;0.03;;;2750;0.03;21;110;0.2;2;0.34;3;1.5;0.6;0.19;45;0.052;20;1.9;1.4;;2.6;;0.28;;0.01;;1160;9.5;1;0.13;;30;0.1;;7.86;1.6;10.4;2;;;170;4.5;;2.8;;;5.8;;;;85;0.2;1.75;;;2.8;0.4;80;1.9;0.3;;9.5;;0.04;0.1;5.8;2;0.2;6.8;0.7;6;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4;
AL-I;Uncertainty;0.1;0.02;0.1;0.01;0.01;0.01;;0.005;0.01;;0.01;;0.01;0.002;0.1;0.01;0.16;0.004;;0.0006699;;0.000146155;;;;0.000591305;;0.000186714;0.00054;;;0.05;0.4;;;6;0.3;;;;140;;1;;0.1;1;0.1;0.5;0.2;0.1;0.02;7;0.007;0.5;0.2;;;0.2;;0.05;;;;80;0.6;0.14;0.02;;15;0.03;;0.07;0.3;0.6;1;;;44;0.7;;0.3;;;0.5;;;;;0.1;0.2;;;0.3;0.2;5;0.3;0.06;;1;;;0.015;0.6;1;0.1;0.4;0.1;1.5;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AL-I;Units;%;%;%;%;%;%;;%;%;;%;;%;%;%;%;%;%;;%;;%;;;;%;;%;%;;;%;ppm;;;ppm;ppm;ppm;;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;;ppm;;ppm;;ppm;;ppm;ppm;ppm;ppm;;ppm;ppm;;%;ppm;ppm;ppm;;;ppm;ppm;;ppm;;;ppm;;;;ppm;ppm;ppm;;;ppm;ppm;ppm;ppm;ppm;;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;%;
AL-I;N;83;85;10;17;79;16;;22;29;;86;;67;61;85;57;82;44;;49;;24;;;;54;;41;42;;;83;6;;;49;12;3;;;85;;24;5;11;24;9;17;10;7;17;10;79;13;10;;;12;;4;;;;86;24;12;17;;61;;;85;21;17;17;;;57;22;;;;;37;;;;6;8;16;;;17;;54;9;9;;28;;;;24;19;;33;18;41;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AL-I;Data Quality;Working value;Working value;Working value;Working value;Working value;Working value;;Working value;Working value;;Working value;;Working value;Working value;Working value;Working value;Working value;Working value;;Working value;;Working value;;;;Working value;;Working value;Working value;;;Working value;Working value;;;Working value;Working value;Provisional value;;;Working value;Provisional value;Working value;Provisional value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Provisional value;;Working value;;Working value;;Provisional value;;Working value;Working value;Working value;Working value;;Working value;Working value;;Working value;Working value;Working value;Working value;;;Working value;Working value;;Working value;;;Working value;;;;Provisional value;Working value;Working value;;;Working value;Working value;Working value;Working value;Working value;;Working value;;Provisional value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provisional value;
AN-G;Concentration;29.8;15.9;0.13;0.87;3.36;2.24;;0.61;0.11;;0.13;;1.8;0.04;1.63;0.01;46.3;0.22;0.000161;0.0037961;;0.00730775;;;;0.008987837;;0.00248952;0.001485;99.797;0.04;15.76;0.2;0.0018;0.5;34;0.3;0.05;3;;11.37;0.08;4.7;300;25;50;0.05;19;1.2;0.75;0.37;120;2.35;18;0.9;0.8;;0.38;0.04;0.28;0.03;0.02;;1080;2.2;12.5;0.12;1.08;310;0.2;;1.21;0.7;2.4;35;;;40;2;;0.6;;;1;;;;140;0.1;10;0.06;21.62;0.7;0.4;76;0.18;0.2;;0.04;1320;0.02;0.14;0.12;70;105;9;0.8;20;11;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.65;
AN-G;Uncertainty;0.18;0.09;0.02;0.04;0.04;0.05;;0.05;0.01;;0.01;;0.03;0.002;0.03;0.01;0.13;0.01;;0.00035728;;0.000438465;;;;0.000473044;;0.000373428;0.0003105;;;0.1;;;;3.2;;;;;0.06;;0.4;35;2.4;3;0.02;1.3;0.2;0.14;0.03;20;0.03;1.9;0.17;;;0.03;;0.07;;;;80;0.2;1.8;0.01;0.02;15;0.1;;0.02;;0.1;3;;;40;1;;0.1;;;0.2;;;;;0.3;0.8;;0.06;0.05;0.2;4;0.04;0.05;;;60;;0.02;;4;17;0.75;0.05;3;2.3;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AN-G;Units;%;%;%;%;%;%;;%;%;;%;;%;%;%;%;%;%;%;%;;%;;;;%;;%;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;%;ppm;ppm;;%;ppm;ppm;ppm;;;ppm;ppm;;ppm;;;ppm;;;;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;%;
AN-G;N;115;119;21;127;127;61;;35;59;;112;;116;112;114;77;112;111;2;47;;68;;;;71;;55;46;;3;115;;;2;47;10;2;5;;119;;32;9;58;68;16;54;9;8;27;25;127;22;9;;;15;;10;3;;;112;33;26;22;116;112;11;;114;15;23;63;;;77;27;;;;;38;;;;9;9;27;;112;26;7;71;13;18;;13;111;;8;9;44;14;39;28;55;46;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;
AN-G;Data Quality;Working value;Working value;Working value;Working value;Working value;Working value;;Working value;Working value;;Working value;;Working value;Working value;Working value;Working value;Working value;Working value;Not provided by compiler;Working value;;Working value;;;;Working value;;Working value;Working value;Recommended value;Not provided by compiler;Working value;Provisional value;Provisional value;Not provided by compiler;Working value;Provisional value;Not provided by compiler;Not provided by compiler;;Working value;Provisional value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Provisional value;;Working value;Provisional value;Working value;Not provided by compiler;Provisional value;;Working value;Working value;Working value;Working value;Working value;Working value;Working value;;Working value;Provisional value;Working value;Working value;;;Working value;Working value;;Working value;;;Working value;;;;Provisional value;Working value;Working value;Provisional value;Working value;Working value;Working value;Working value;Working value;Working value;;Provisional value;Working value;Provisional value;Working value;Provisional value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provisional value;
BCR-1;Concentration;13.65;6.95;0.03;3.59;13.42;8.88;;0.75;0.81;1.59;1.69;;3.48;0.177;3.27;0.36;54.11;2.24;0.0009982;0.08;;2.34E-03;;;;3.90E-02;;1.61E-02;0.02565;100.16;0.027;7.22;0.65;0.00066;3.1;681;1.6;0.047;0.072;80;4.97;0.13;53.7;59;37;16;0.96;19;6.34;3.63;1.95;490;9.38;22;6.68;1.5;;4.95;0.0079;1.26;0.18;0.092;0.000004;1.4;24.9;12.9;0.51;2.1;1370;1.6;34;2.43;14;28.8;13;45.1;0.000009;1560;13.6;bdl;6.8;0.002;;47.2;0.00084;0.00023;0.001;410;0.62;32.6;0.088;25.27;6.59;2.7;330;0.81;1.05;0.0049;5.98;1.34;0.3;0.56;1.75;407;0.44;38;3.38;129.5;190;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.282;;;;;;;;1.1406;0.51264;0.34852;0.7226;0.2421;0.2364;;;;;;;;;18.81;15.62;38.7;;;0.56;;;0.1371;0.70501;;;;;;;;;138;404.04;;;;;;;;;;1.67;
BCR-1;Detection limit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BCR-1;Uncertainty;0.25;0.15;0.02;0.28;0.36;0.15;;0.19;0.22;0.12;0.04;;0.13;0.01;0.12;0.02;0.36;0.1;0.0005152;0.002;;5.85E-04;;;;5.91E-04;;6.22E-05;0.00081;0.67;0.003;0.13;0.085;0.00017;1.6;15;0.3;0.002;0.025;40;0.11;0.008;0.7;8;2;4;0.02;5;0.13;0.08;0.04;50;0.25;2;0.12;0.13;;0.28;0.0022;0.12;0.008;0.006;0.000002;0.03;0.8;0.4;0.025;0.08;90;0.4;12;0.09;3;0.5;4;0.4;0.000001;100;0.1;;0.5;;;0.6;0.00006;;;50;0.1;2.2;0.013;0.17;0.12;1.1;5;0.13;0.1;0.0017;0.06;0.06;0.03;0.04;0.12;34;0.08;5;0.07;0.5;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.002;0.00003;0.00025;0.0013;0.0009;;;;;;;;;;0.02;0.01;0.03;;;;;;0.0013;0.00008;;;;;;;;;;;;;;;;;;;;;
BCR-1;Units;%;%;%;%;%;%;;%;%;%;%;;%;%;%;%;%;%;%;%;;%;;;;%;;%;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;%;ppm;ppm;ppm;%;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pCi/g;;;;;;;;;;;;;;;;;;;;;;;;%;
BCR-1;N;186;202;23;41;244;60;;35;35;26;236;;189;226;187;106;154;203;9;210;;172;;;;217;;159;135;;55;186;25;61;9;210;22;40;27;23;202;56;266;26;214;172;103;138;143;107;269;40;244;73;135;40;;102;28;91;6;43;21;236;249;59;215;189;226;35;6;187;63;231;155;18;3;106;99;8;55;2;;218;30;2;2;22;80;126;53;154;264;31;217;81;175;24;149;203;52;73;117;143;16;97;263;159;135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;3;93;5;3;3;1;;;;;;;;;13;12;13;;;1;;;5;10;;;;;;;;;1;1;;;;;;;;;;1;
