Standard;rock type;producer;Material Source;Date Released;Link;Material Production Reference;Data Source Reference
Mica-Fe;biotite;Centre de Recherches Petrographiques et Geochimiques;Massif de Saint-Sylvestre (Massif Central), FRA ;1967;http://www.geostandards.lanl.gov/AllAnalytes/All-Mica-Fe_1.html; K. Govindaraju (1995), 1995 Working Values with Confidence Limits for Twenty-Six CRPG, ANRT and IWG-GIT Geostandards,  Special Issue, Geostandards Newsletter, 19: 1-32;K. Govindaraju (1995), 1995 Working Values with Confidence Limits for Twenty-Six CRPG, ANRT and IWG-GIT Geostandards,  Special Issue, Geostandards Newsletter, 19: 1-32
Mica-Mg;phlogopite;Centre de Recherches Petrographiques et Geochimiques;Bekily, MDG;1968;http://www.geostandards.lanl.gov/AllAnalytes/All-Mica-Mg_1.html; K. Govindaraju (1995), 1995 Working Values with Confidence Limits for Twenty-Six CRPG, ANRT and IWG-GIT Geostandards,  Special Issue, Geostandards Newsletter, 19: 1-32;K. Govindaraju (1995), 1995 Working Values with Confidence Limits for Twenty-Six CRPG, ANRT and IWG-GIT Geostandards,  Special Issue, Geostandards Newsletter, 19: 1-32
NIST 610;synthetic silicate glass;National Institute of Standards and Technology;Synthetic silicate glass spiked with sixty-one trace elements;1992;https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1751-908X.1997.tb00538.x;;Pearce, N.J.G., Perkins, W.T., Westgate, J.A., Gorton, M.P., Jackson, S.E., Neal, C.R., and Chenery, S.P. (1996). A Compilation of New and Published Major and Trace Element Data for NIST SRM 610 and NIST SRM 612 Glass Reference Materials. Geostandards Newsletter. Vol. 21, pp. 115-144.
NIST 610 (2);synthetic silicate glass;National Institute of Standards and Technology;Synthetic silicate glass spiked with sixty-one trace elements;1992;https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1751-908X.2011.00120.x;;Jochum, K.P., Weis, U, Stoll, B., Kuzmin, D., Yang, Q., Raczek, I., Jacob, D.E., Stracke, A., Birbaum, K., Frick, D.A., Günther, D., and Enzweiler, J. (2011).Determination of Reference Values for NIST SRM 610-617 Glasses Following ISO Guidelines. Geostandards and Geoanalytical Research. 33 pp.
NIST 612;synthetic silicate glass;National Institute of Standards and Technology;Synthetic silicate glass spiked with sixty-one trace elements;1992;https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1751-908X.1997.tb00538.x;;Pearce, N.J.G., Perkins, W.T., Westgate, J.A., Gorton, M.P., Jackson, S.E., Neal, C.R., and Chenery, S.P. (1996). A Compilation of New and Published Major and Trace Element Data for NIST SRM 610 and NIST SRM 612 Glass Reference Materials. Geostandards Newsletter. Vol. 21, pp. 115-144.
NIST 612 (2);synthetic silicate glass;National Institute of Standards and Technology;Synthetic silicate glass spiked with sixty-one trace elements;1992;https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1751-908X.2011.00120.x;;Jochum, K.P., Weis, U, Stoll, B., Kuzmin, D., Yang, Q., Raczek, I., Jacob, D.E., Stracke, A., Birbaum, K., Frick, D.A., Günther, D., and Enzweiler, J. (2011).Determination of Reference Values for NIST SRM 610-617 Glasses Following ISO Guidelines. Geostandards and Geoanalytical Research. 33 pp.
NIST 614;synthetic silicate glass;National Institute of Standards and Technology;Synthetic silicate glass spiked with sixty-one trace elements;1992;https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1751-908X.2011.00120.x;;Jochum, K.P., Weis, U, Stoll, B., Kuzmin, D., Yang, Q., Raczek, I., Jacob, D.E., Stracke, A., Birbaum, K., Frick, D.A., Günther, D., and Enzweiler, J. (2011).Determination of Reference Values for NIST SRM 610-617 Glasses Following ISO Guidelines. Geostandards and Geoanalytical Research. 33 pp.
NIST 616;synthetic silicate glass;National Institute of Standards and Technology;Synthetic silicate glass spiked with sixty-one trace elements;1992;https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1751-908X.2011.00120.x;;Jochum, K.P., Weis, U, Stoll, B., Kuzmin, D., Yang, Q., Raczek, I., Jacob, D.E., Stracke, A., Birbaum, K., Frick, D.A., Günther, D., and Enzweiler, J. (2011).Determination of Reference Values for NIST SRM 610-617 Glasses Following ISO Guidelines. Geostandards and Geoanalytical Research. 33 pp.
NOD-A-1;manganese nodule;United States Geological Survey;collected along the Blake Plateau (31° 02' N, 78° 22' W) at a depth of 788 m;1980;https://www.usgs.gov/centers/gggsc/;Flanagan and Gottfried (1980), U. S. Geological Survey Standards;Abbey (1983), Govindaraju (1994)
NOD-P-1;manganese nodule;United States Geological Survey;collected from the Pacific Ocean (14° 50' N, 124° 28' W) at a depth of 4300 m;1980;https://www.usgs.gov/centers/gggsc/;Flanagan and Gottfried (1980), U. S. Geological Survey Standards;Abbey (1983), Govindaraju (1994)
PCC-1;peridotite;United States Geological Survey;East Austin Creek, Sunoma County, California, USA;1970;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-PCC-1_1.html;F. J. Flanagan (1969), U. S. Geological Survey Standards - II. First Compilation of the Data for the new U.S.G.S. Rocks, Geochimica et Cosmochimica Acta, 33: 81-120.;E. S. Gladney, E. A. Jones, E. J. Nickell and I. Roelandts (1991), 1988 Compilation of Elemental Concentration Data for USGS DTS-1, G-1, PCC-1 and W-1, Geostandards Newsletter, 15: 199-396. 
PM-S;microgabbro;"Groupe International de Travail ""Etalons analytiques des mineraux, minerais et roches""";Pitscurrie Quarry, Scotland, GBR;1994;http://www.geostandards.lanl.gov/AllAnalytes/All-PM-S_1.html;K. Govindaraju (1995), 1995 Working Values with Confidence Limits for Twenty-Six CRPG, ANRT and IWG-GIT Geostandards,  Special Issue, Geostandards Newsletter, 19: 1-32; K. Govindaraju (1995), 1995 Working Values with Confidence Limits for Twenty-Six CRPG, ANRT and IWG-GIT Geostandards,  Special Issue, Geostandards Newsletter, 19: 1-32
QLO-1;quartz latite (dellenite);United States Geological Survey;"lava flow on flanks of an extrusive dome; Lake County, OR";1976;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-QLO-1_1.html;F. J. Flanagan (1976), 1972 Compilation of Data on USGS Standards, USGS Professional Paper 840, pp. 131-183; E. S. Gladney and I. Roelandts (1988), 1987 Compilation of Elemental Concentration Data for USGS BHVO-1, MAG-1, QLO-1, RGM-1, SCo-1, SDC-1, SGR-1 and STM-1, Geostandards Newsletter, 12: 253-362
RGM-1;rhyolite;United States Geological Survey;Glass Mountain, Siskiyou County, CA;1976;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-RGM-1_1.html;F. J. Flanagan (1976), 1972 Compilation of Data on USGS Standards, USGS Professional Paper 840, pp. 131-183; E. S. Gladney and I. Roelandts (1988), 1987 Compilation of Elemental Concentration Data for USGS BHVO-1, MAG-1, QLO-1, RGM-1, SCo-1, SDC-1, SGR-1 and STM-1, Geostandards Newsletter, 12: 253-362
SDO-1;shale;United States Geological Survey;Huron Member of the Ohio Shale, Morehead, KY;1990;https://www.usgs.gov/centers/gggsc/;Kane and others (1990), U. S. Geological Survey Standards;Kane and others (1990)
STM-1;nepheline syenite;United States Geological Survey;Table Mountain, OR;1976;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-STM-1_1.html;F. J. Flanagan (1976), 1972 Compilation of Data on USGS Standards, USGS Professional Paper 840, pp. 131-183;E. S. Gladney and I. Roelandts (1988), 1987 Compilation of Elemental Concentration Data for USGS BHVO-1, MAG-1, QLO-1, RGM-1, SCo-1, SDC-1, SGR-1 and STM-1, Geostandards Newsletter, 12: 253-362
TILL-1;soil;Geological Survey of Canada;Joe Lake, Ontario, CAN;1996;;Lynch, J.J. (1996): Provisional elemental values for four new geochemical soil and till reference materials, TILL-1, TILL-2, TILL-3 and TILL-4.  Geostandards Newsletter, vol. 20, no. 2, p. 277-287;Lynch, J.J. (1996): Provisional elemental values for four new geochemical soil and till reference materials, TILL-1, TILL-2, TILL-3 and TILL-4.  Geostandards Newsletter, vol. 20, no. 2, p. 277-287
TILL-3;soil;Geological Survey of Canada;O'Brien Mine, near Cobalt, Ontario, CAN;1996;;Lynch, J.J. (1996): Provisional elemental values for four new geochemical soil and till reference materials, TILL-1, TILL-2, TILL-3 and TILL-4.  Geostandards Newsletter, vol. 20, no. 2, p. 277-287;Lynch, J.J. (1996): Provisional elemental values for four new geochemical soil and till reference materials, TILL-1, TILL-2, TILL-3 and TILL-4.  Geostandards Newsletter, vol. 20, no. 2, p. 277-287
UB-N;serpentine;Association Nationale de la Recherche Technique;Col des Bagenelles (Vosges), FRA ;1968;http://www.geostandards.lanl.gov/AllAnalytes/All-UB-N_1.html;K. Govindaraju (1995), 1995 Working Values with Confidence Limits for Twenty-Six CRPG, ANRT and IWG-GIT Geostandards,  Special Issue, Geostandards Newsletter, 19: 1-32; K. Govindaraju (1995), 1995 Working Values with Confidence Limits for Twenty-Six CRPG, ANRT and IWG-GIT Geostandards,  Special Issue, Geostandards Newsletter, 19: 1-32
VS-N;synthetic silico-aluminous glass;Association Nationale de la Recherche Technique;SOVIREL (now Corning), FRA ;1972;http://www.geostandards.lanl.gov/AllAnalytes/All-VS-N_1.html;K. Govindaraju (1995), 1995 Working Values with Confidence Limits for Twenty-Six CRPG, ANRT and IWG-GIT Geostandards,  Special Issue, Geostandards Newsletter, 19: 1-32; K. Govindaraju (1995), 1995 Working Values with Confidence Limits for Twenty-Six CRPG, ANRT and IWG-GIT Geostandards,  Special Issue, Geostandards Newsletter, 19: 1-32
W-1;diabase;United States Geological Survey;Bull Run Quarry, near Centerville, VA;1951;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-W-1_1.html;H. W. Fairbairn et al. (1951), A Cooperative Investigation of Precision and Accuracy in Chemical, Spectrochemical and Modal  Analysis of Silicate Rocks, U. S. Geological Survey Bulletin 980.;E. S. Gladney, E. A. Jones, E. J. Nickell and I. Roelandts (1991), 1988 Compilation of Elemental Concentration Data for USGS DTS-1, G-1, PCC-1 and W-1, Geostandards Newsletter, 15: 199-396. 
W-2;diabase;United States Geological Survey;Bull Run Quarry, near Centerville, VA;1984;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-W-2_1.html;"F. J. Flanagan (1984), Three USGS Mafic Rock Reference Samples, W-2, DNC-1 and BIR-1, USGS Bulletin 1623, 54 pp.; updated  by Additions and Corrections for USGS Bulletin 1623, Open-File Report 86-220, issued in 1986.";E. S. Gladney and I. Roelandts (1987), 1987 Compilation of Elemental Concentration Data for USGS BIR-1, DNC-1 and W-2, Geostandards Newsletter, 12: 63-118.
WS-E;dolerite;"Groupe International de Travail ""Etalons analytiques des mineraux, minerais et roches""";Great Whin Sill, Northern England, GBR;1994;http://www.geostandards.lanl.gov/AllAnalytes/All-WS-E_1.html;K. Govindaraju (1995), 1995 Working Values with Confidence Limits for Twenty-Six CRPG, ANRT and IWG-GIT Geostandards, Special Issue, Geostandards Newsletter, 19: 1-32;K. Govindaraju (1995), 1995 Working Values with Confidence Limits for Twenty-Six CRPG, ANRT and IWG-GIT Geostandards, Special Issue, Geostandards Newsletter, 19: 1-32
ZW-C;zinnwaldite;"Groupe International de Travail ""Etalons analytiques des mineraux, minerais et roches""";Cinovec (Zinnwald), CZE;1994;http://www.geostandards.lanl.gov/AllAnalytes/All-ZW-C_1.html; K. Govindaraju (1995), 1995 Working Values with Confidence Limits for Twenty-Six CRPG, ANRT and IWG-GIT Geostandards,  Special Issue, Geostandards Newsletter, 19: 1-32;K. Govindaraju (1995), 1995 Working Values with Confidence Limits for Twenty-Six CRPG, ANRT and IWG-GIT Geostandards,  Special Issue, Geostandards Newsletter, 19: 1-32
